,severity_class
17240,severe
17272,severe
13459,modere
4755,leger
1510,leger
7374,modere
10781,leger
7472,leger
16947,leger
280,leger
2302,modere
15678,leger
5118,leger
14028,leger
3270,modere
13559,modere
13742,leger
4886,modere
7289,modere
19313,leger
48,leger
14453,modere
4907,modere
2074,leger
5231,leger
6509,leger
7589,leger
7880,modere
17498,modere
7582,leger
1481,leger
10436,modere
4011,modere
5422,modere
10647,leger
14088,leger
12319,leger
1201,modere
7602,leger
12785,modere
8428,leger
11749,leger
13767,leger
14806,leger
13893,modere
7780,leger
18310,leger
2504,leger
17982,leger
17091,leger
461,leger
8805,leger
15467,modere
1242,modere
3933,leger
6901,modere
16523,modere
1629,leger
1714,leger
16948,modere
17515,modere
4966,leger
18348,modere
8641,modere
4274,severe
1767,leger
1285,leger
12827,modere
13161,modere
2961,modere
9618,leger
9664,leger
4946,leger
10433,modere
2377,modere
14207,severe
18549,leger
11727,leger
5184,leger
6316,modere
13315,modere
4784,leger
15730,modere
14938,leger
16706,severe
4410,modere
1936,leger
3742,leger
13093,severe
12780,leger
5106,modere
12924,modere
19038,leger
13211,leger
2929,modere
18327,modere
13178,leger
13469,severe
8069,modere
8010,leger
3212,leger
15081,leger
3966,leger
7747,leger
14963,leger
11025,leger
5907,leger
13961,modere
2921,modere
11089,leger
8394,leger
1399,modere
10720,leger
6196,modere
4774,leger
10651,leger
16849,leger
7867,severe
12009,modere
13752,leger
18039,leger
17361,leger
7185,leger
13933,leger
7413,modere
4437,leger
2477,modere
12944,leger
1917,modere
11050,leger
13283,modere
11388,leger
3112,leger
10029,modere
14941,leger
8274,leger
9931,leger
14195,modere
13821,modere
10713,leger
7740,leger
19418,leger
17113,modere
16511,modere
14864,leger
1619,leger
7791,modere
9663,severe
6863,leger
6417,modere
10697,modere
13222,leger
7329,modere
10974,leger
12461,modere
6728,modere
4197,modere
8769,leger
7551,severe
7768,severe
2246,leger
11557,severe
6698,leger
15415,leger
10571,severe
13063,modere
13002,modere
8622,severe
12895,modere
3768,leger
12270,leger
18817,modere
8977,severe
10777,modere
15981,leger
12712,leger
16223,leger
18399,leger
16705,severe
1803,modere
343,modere
17479,leger
5663,modere
14851,modere
6216,leger
134,modere
17704,modere
5998,leger
11588,leger
6943,leger
5748,leger
8845,leger
11321,modere
17186,leger
2503,modere
17392,modere
19166,severe
11640,modere
1602,modere
6219,leger
6185,severe
5721,leger
1054,modere
3561,modere
13901,leger
4306,leger
9329,modere
8089,modere
5800,leger
7076,modere
12147,modere
15025,leger
8054,leger
18372,leger
9889,leger
13765,modere
4253,leger
3853,leger
6059,leger
13154,leger
1782,leger
86,modere
7868,modere
15202,modere
1548,modere
19153,modere
9230,leger
5786,leger
15018,leger
10550,leger
16961,modere
6576,leger
15439,modere
10708,leger
14279,leger
1203,leger
9802,modere
17071,modere
2839,severe
4744,leger
12136,severe
8570,leger
2640,modere
14707,modere
6709,leger
1913,modere
11101,modere
8567,leger
394,leger
14080,leger
16764,modere
15273,leger
15069,leger
4180,modere
289,modere
552,leger
17842,leger
177,leger
1095,modere
8915,leger
12728,modere
5614,leger
3095,leger
15092,leger
13887,modere
8220,leger
124,modere
18033,leger
1051,leger
18907,modere
10800,modere
13619,modere
11287,modere
5848,leger
3429,severe
9474,severe
14061,modere
11835,leger
8141,modere
10753,modere
6239,leger
18612,modere
5713,leger
15190,leger
9847,leger
5804,leger
4543,leger
15250,leger
4064,leger
14003,modere
7255,leger
7125,leger
8929,leger
19098,modere
3243,leger
18040,leger
4506,leger
15340,modere
435,modere
15140,leger
1432,modere
4691,leger
4112,severe
512,leger
15564,leger
7803,modere
12444,modere
19334,leger
184,modere
8734,leger
4770,leger
7424,modere
1303,modere
9869,severe
3202,leger
6713,modere
8340,leger
14473,modere
9788,modere
5148,modere
18873,leger
6390,modere
18381,modere
6548,leger
3353,modere
1667,modere
14185,leger
18255,modere
13136,modere
15344,leger
13398,severe
3385,modere
11996,leger
5401,modere
15572,leger
3369,modere
130,modere
7972,modere
15545,modere
7554,modere
4135,modere
8749,leger
17741,leger
3425,leger
16674,modere
6312,modere
5427,leger
17183,leger
16734,leger
1451,leger
1132,modere
16154,modere
4488,leger
11278,severe
10962,modere
17258,leger
4850,leger
13087,leger
18913,severe
8823,leger
16506,modere
10212,modere
16189,leger
3152,severe
1407,leger
6868,leger
146,leger
13478,leger
1294,leger
11492,severe
1272,modere
16482,modere
9339,leger
1170,modere
16686,modere
7013,severe
1798,modere
9013,severe
10579,leger
1501,modere
14660,modere
11459,modere
7489,modere
1827,leger
1297,leger
15286,leger
6921,leger
7085,modere
181,leger
9567,leger
16046,leger
17983,leger
7258,leger
19423,modere
3431,leger
18711,modere
9249,modere
9300,severe
13049,leger
16955,leger
7150,leger
16502,leger
18215,leger
11938,modere
16322,modere
16350,leger
6845,modere
15070,leger
16921,modere
10087,leger
11019,leger
11732,severe
19083,modere
13287,modere
6376,severe
12137,leger
17426,modere
5979,leger
2247,modere
15108,leger
12513,leger
7544,leger
18474,leger
13521,modere
1298,modere
18066,leger
7153,leger
7832,modere
4075,modere
8125,leger
3666,leger
3775,leger
16483,leger
6313,leger
8610,leger
13777,leger
18470,leger
4213,modere
5463,leger
13039,modere
2198,modere
2710,modere
15596,leger
892,leger
1950,severe
954,modere
18529,leger
10136,leger
5989,modere
5256,modere
327,modere
13157,severe
11141,leger
18747,leger
4401,leger
12068,modere
3287,modere
13418,modere
3023,leger
16414,severe
17779,modere
10369,leger
12133,leger
19384,modere
12327,leger
5169,modere
9804,modere
13485,leger
4430,leger
18250,modere
3543,modere
18068,modere
8026,leger
6815,modere
5585,leger
18683,modere
19099,leger
107,leger
17148,leger
957,leger
18096,modere
16904,modere
12600,leger
18102,leger
7199,modere
4353,leger
1940,leger
10407,modere
1472,modere
10441,modere
6593,leger
1236,modere
4664,leger
12625,leger
856,leger
16380,modere
15948,leger
17845,modere
17145,modere
3947,modere
7737,severe
3582,modere
3801,leger
9866,leger
14402,modere
6652,leger
3007,leger
14809,leger
2935,leger
3984,modere
5223,modere
12946,leger
2773,leger
10396,modere
9971,leger
11463,modere
8307,leger
9865,modere
13790,modere
3003,leger
4882,leger
14701,leger
5542,modere
4647,modere
5516,leger
10133,modere
6870,modere
7521,leger
3449,leger
12521,modere
7735,leger
13341,modere
14911,modere
10137,leger
551,leger
5621,modere
19420,leger
13596,severe
4631,modere
13,leger
11544,modere
18785,modere
16142,modere
6436,leger
15024,leger
324,leger
17373,modere
2483,leger
12948,modere
5247,severe
15541,leger
1335,leger
18534,modere
10048,leger
19002,severe
17815,leger
3579,modere
12660,severe
3569,modere
2970,leger
8400,modere
5751,modere
4872,leger
569,leger
17518,leger
10880,severe
6392,modere
11106,leger
17502,modere
8945,modere
7959,leger
12230,leger
8205,leger
9215,leger
670,modere
13850,leger
6763,modere
2394,leger
10440,leger
11931,leger
2225,leger
8172,modere
4883,modere
5578,leger
12524,leger
16567,leger
8286,modere
1340,modere
9918,severe
14127,leger
4583,severe
11560,leger
7204,leger
13110,leger
19275,leger
10274,modere
9503,leger
15445,leger
17825,modere
18617,leger
19119,modere
18053,modere
2994,leger
13029,leger
16614,modere
8646,leger
10772,leger
14439,modere
2767,leger
1661,modere
11248,modere
6170,leger
6424,modere
17269,leger
5647,modere
1062,modere
770,leger
17060,modere
3323,leger
4357,leger
2600,severe
5945,leger
14916,severe
13056,modere
15287,leger
4697,modere
6120,leger
1696,severe
8499,leger
13669,leger
5504,modere
9910,modere
10138,modere
14623,leger
10064,modere
12891,modere
11064,leger
4268,modere
6852,modere
2697,leger
1135,leger
9852,modere
9764,modere
809,leger
18688,leger
14424,leger
12615,leger
6641,leger
6948,leger
8841,modere
56,modere
10808,modere
4661,severe
8004,modere
15669,leger
7566,leger
10,modere
13499,leger
19351,leger
18293,modere
2500,leger
2590,modere
16677,leger
4097,leger
16158,leger
5573,leger
16803,leger
8723,leger
14084,modere
15429,modere
1495,modere
2406,modere
3293,leger
9014,leger
14297,modere
2061,modere
19399,modere
14565,modere
3,leger
17446,leger
6091,leger
3834,modere
7533,modere
1307,leger
507,modere
16632,leger
8045,leger
8050,leger
8412,leger
5535,modere
1002,leger
6292,leger
12938,modere
6882,leger
11167,leger
10891,modere
14743,modere
3142,leger
8280,modere
3340,modere
502,leger
17053,modere
10531,modere
14583,modere
10960,modere
3660,leger
7649,leger
13506,modere
14894,leger
8855,leger
236,modere
13028,modere
15336,leger
15455,leger
11301,leger
691,leger
8529,leger
12991,modere
1497,leger
10670,leger
15574,leger
9027,modere
15278,leger
11653,leger
205,leger
6881,modere
11735,leger
1486,modere
6149,leger
8582,leger
16491,leger
6369,modere
1300,leger
8623,leger
4325,leger
13466,leger
4257,leger
11877,modere
14966,leger
16887,modere
12446,leger
7393,leger
11841,modere
870,leger
7131,severe
4551,leger
1206,leger
6597,leger
13367,modere
11272,leger
4995,modere
13977,leger
16647,leger
7057,modere
19346,leger
2738,leger
5197,leger
18306,modere
5339,severe
4822,modere
11816,modere
8714,modere
1656,modere
4233,severe
2852,leger
12602,leger
3896,modere
3871,leger
1748,leger
1414,leger
16808,modere
13672,severe
5526,severe
13589,modere
9863,modere
5464,leger
13869,modere
11838,leger
11874,leger
11120,severe
617,modere
11972,modere
7775,leger
5523,severe
17649,leger
15275,modere
2607,modere
349,modere
11151,leger
1133,leger
14392,modere
11262,severe
14510,leger
4587,modere
4787,leger
6217,leger
5020,modere
6575,leger
402,severe
17499,modere
12101,modere
7540,leger
16513,severe
6326,leger
16257,leger
11596,modere
4230,modere
6834,leger
8507,leger
3116,severe
7685,modere
2865,leger
18214,leger
9584,modere
14723,leger
18751,leger
17697,modere
15213,modere
7242,leger
15691,leger
12201,modere
11436,modere
15567,modere
19270,leger
1613,leger
15311,leger
4283,modere
6507,modere
13385,severe
11412,leger
16871,leger
18021,leger
3725,severe
16598,severe
13066,leger
8935,modere
16040,leger
5031,leger
15063,leger
11965,leger
10984,leger
4505,modere
5460,leger
6687,leger
12951,modere
7386,modere
5369,modere
907,leger
1035,modere
9536,modere
14503,modere
17167,leger
14408,leger
6817,modere
6339,modere
7614,modere
2122,modere
14611,modere
4494,severe
6473,modere
9798,modere
2110,modere
11737,leger
1537,modere
5815,modere
16683,leger
9164,modere
16153,modere
52,leger
5837,modere
5743,leger
14090,modere
19241,leger
2359,leger
9911,leger
10815,severe
5295,modere
11871,leger
6156,leger
12543,modere
13695,modere
2141,modere
13204,modere
2842,leger
1465,modere
3922,severe
4874,modere
9,leger
8827,leger
12812,leger
11485,modere
18302,modere
18148,modere
18891,modere
18755,modere
1817,modere
17081,modere
14557,leger
16558,modere
5496,modere
18092,leger
8899,leger
966,leger
13452,modere
15376,leger
10890,modere
7631,leger
2461,leger
18099,modere
9237,severe
4169,modere
19379,leger
18287,leger
7009,leger
7112,leger
8058,leger
14456,leger
2337,modere
7909,modere
6110,leger
19225,modere
4293,leger
1527,modere
1649,leger
8236,leger
12765,modere
14675,leger
2792,modere
18583,modere
8904,modere
2228,leger
9781,leger
16864,leger
4525,modere
9336,leger
4912,leger
1512,leger
16796,modere
14339,modere
2747,modere
12264,leger
7005,leger
15732,modere
12920,leger
6325,severe
16421,leger
623,leger
4500,leger
11538,modere
16309,severe
18339,leger
9566,leger
7415,modere
11285,leger
13664,leger
8140,leger
1904,leger
18645,modere
12540,leger
12391,modere
9808,leger
11368,severe
17950,leger
11233,modere
11605,leger
4786,leger
17760,leger
2480,leger
8889,leger
7411,modere
5258,leger
3612,modere
8040,leger
17463,leger
10229,leger
9113,modere
10846,modere
17500,modere
3022,leger
16990,modere
3685,modere
8722,leger
5864,leger
5649,severe
1601,leger
9553,leger
2712,severe
15410,leger
2358,modere
1556,leger
490,modere
8425,leger
14950,modere
18347,leger
4624,leger
6566,modere
17945,modere
16539,severe
7127,leger
5112,leger
5321,modere
9541,leger
13082,modere
14315,modere
17742,modere
11511,leger
5406,leger
14147,leger
15995,leger
13882,modere
19234,severe
4330,leger
6451,modere
8565,leger
4899,leger
11852,modere
4540,modere
15546,severe
3197,modere
9716,leger
7278,severe
18419,leger
6574,leger
13281,severe
18395,leger
13146,leger
3209,leger
7862,leger
6201,modere
6082,modere
958,leger
2700,modere
4436,modere
9959,modere
2033,leger
1995,modere
1430,modere
18856,severe
2425,leger
4415,leger
11800,modere
16073,modere
382,leger
11656,modere
4710,leger
1697,leger
5087,modere
14283,modere
4706,leger
17410,modere
366,leger
3251,modere
12754,modere
980,leger
1549,leger
13877,leger
3175,leger
9943,leger
14558,leger
748,leger
1398,leger
6322,leger
14405,severe
6233,leger
9816,leger
10756,leger
12330,modere
2878,modere
4736,modere
11100,modere
1532,modere
15858,leger
17972,leger
16983,leger
17685,leger
14445,leger
8171,leger
14229,modere
12180,leger
15071,leger
195,leger
127,severe
180,modere
821,modere
229,modere
7151,modere
8284,severe
12558,severe
11672,leger
19201,leger
5098,leger
12959,leger
5149,modere
3086,modere
16396,leger
113,severe
2944,severe
14338,leger
14407,modere
13788,leger
15464,leger
18854,leger
10030,leger
18037,modere
4600,leger
3436,leger
12762,leger
1757,leger
5365,modere
13617,modere
8665,leger
6391,modere
6224,leger
1514,leger
14654,modere
11403,leger
2689,modere
11142,leger
12432,leger
18038,modere
2695,modere
16119,leger
17780,modere
10659,severe
16255,modere
10549,leger
5741,leger
1899,leger
14830,leger
9647,severe
2407,leger
11509,modere
11970,leger
485,modere
7581,leger
9068,modere
3328,modere
17624,modere
10079,leger
17946,leger
12455,modere
4036,leger
19148,modere
7049,modere
18361,modere
13540,leger
5823,modere
17503,leger
2589,modere
64,leger
1837,leger
14053,modere
3653,leger
17731,modere
8159,modere
15594,leger
11298,modere
3263,leger
9358,modere
10005,modere
14868,leger
18939,modere
2529,leger
16585,leger
14695,leger
4598,leger
14336,modere
329,modere
12081,modere
9827,leger
17702,modere
4461,leger
1101,leger
13524,severe
19037,modere
6573,leger
7485,leger
2436,modere
13420,modere
19104,modere
9445,leger
412,modere
6582,modere
624,leger
10329,leger
271,modere
11674,leger
1348,modere
15487,leger
7228,leger
16329,modere
16107,modere
6914,severe
1975,modere
7784,leger
7097,leger
872,severe
15354,leger
13993,modere
18532,modere
18605,modere
13630,leger
10216,leger
15501,leger
1614,modere
700,leger
13472,modere
8249,modere
4081,modere
15452,leger
7171,leger
7908,modere
4275,leger
18659,leger
15638,leger
9516,severe
5207,modere
14533,leger
16392,leger
1173,modere
1643,modere
3810,leger
1635,modere
2571,modere
16811,leger
18970,modere
9247,leger
17142,leger
19381,leger
16366,leger
4975,modere
5596,modere
8920,modere
606,leger
9054,leger
19427,leger
9127,severe
10783,modere
6437,leger
17531,leger
3754,modere
13348,modere
6109,severe
12742,severe
18389,leger
1447,modere
16144,leger
7816,modere
1211,modere
6598,leger
8208,leger
17588,modere
9217,modere
1330,severe
6680,leger
2682,leger
9156,leger
874,modere
17562,modere
6651,modere
12316,modere
8619,modere
1354,leger
18480,leger
7377,leger
18050,modere
12429,leger
12476,leger
3048,leger
9818,leger
18456,modere
3920,leger
6363,severe
13077,leger
12690,modere
13544,modere
7051,leger
8906,leger
13677,leger
9104,leger
8715,modere
5500,leger
17627,leger
16798,leger
4469,leger
882,severe
14286,modere
11490,severe
321,leger
9405,severe
11969,modere
5787,leger
6488,leger
7096,modere
9576,modere
19327,leger
10373,leger
17284,leger
11349,modere
15955,leger
7126,leger
2032,modere
15505,modere
10192,modere
12594,leger
4172,modere
2430,leger
5002,leger
13059,leger
16152,severe
9542,leger
9285,modere
8786,leger
18426,modere
3607,modere
18049,leger
14748,leger
19127,leger
15438,modere
5875,modere
11049,severe
16695,leger
16294,modere
11186,leger
7221,severe
18763,modere
118,modere
9549,leger
8074,leger
13928,leger
6238,leger
12576,modere
16333,leger
976,leger
17883,leger
5413,modere
13717,modere
7025,modere
4248,modere
1038,leger
2333,leger
15721,modere
17399,severe
867,modere
11495,modere
164,modere
16684,leger
18718,leger
10990,modere
11532,leger
7154,leger
601,severe
18240,modere
13676,leger
10039,leger
14614,modere
1371,modere
17561,leger
10685,leger
924,modere
15627,leger
18559,modere
11947,leger
18816,modere
3190,modere
5938,modere
10716,leger
10564,leger
952,modere
13292,leger
9977,modere
1630,severe
8146,modere
18861,leger
6937,severe
8116,leger
18292,leger
13722,leger
14725,severe
10403,leger
14219,modere
11772,leger
4835,modere
10300,leger
13528,leger
18467,leger
12834,leger
10250,leger
17093,modere
12927,leger
14586,modere
3601,leger
5827,leger
10901,modere
14324,modere
18219,leger
13879,modere
7807,modere
3297,modere
3272,leger
959,severe
5688,modere
16938,modere
11166,leger
5533,leger
3237,modere
11795,leger
10782,modere
14785,modere
1797,leger
14914,severe
11868,modere
11397,modere
16972,leger
5322,leger
2213,modere
17895,leger
1352,leger
6646,modere
1828,leger
1925,leger
10610,severe
19000,modere
16101,leger
19213,leger
2443,modere
8228,leger
11092,leger
4608,modere
8467,leger
8334,leger
14810,leger
3476,modere
8685,severe
10021,leger
6742,modere
11766,leger
7029,leger
3039,leger
1755,modere
15269,leger
11548,modere
5384,modere
8278,modere
308,leger
16419,leger
14835,modere
6422,leger
15211,leger
1237,modere
12570,modere
519,modere
1232,leger
3734,modere
13878,modere
855,modere
14980,modere
7389,leger
6865,leger
16844,modere
12997,modere
4569,leger
9499,leger
19348,leger
14889,modere
10790,modere
18130,leger
17527,leger
5253,leger
3911,modere
4449,leger
147,leger
8392,modere
7349,leger
16991,modere
6719,leger
2797,modere
16025,modere
32,modere
7528,leger
12743,leger
4555,severe
9894,modere
13424,modere
15402,leger
13212,modere
16996,severe
3992,leger
7910,leger
18615,leger
3852,leger
5387,modere
14509,leger
13679,leger
6549,leger
12667,modere
8742,modere
3047,modere
4039,leger
1317,leger
15861,modere
3120,leger
3238,modere
18454,modere
148,modere
5408,leger
11944,modere
13294,modere
12767,modere
4512,modere
16888,leger
6252,leger
14342,modere
9432,modere
10832,leger
13647,modere
14335,leger
19300,leger
17188,leger
499,modere
922,modere
4311,leger
18383,leger
19316,modere
14746,leger
11254,leger
4228,leger
11624,modere
4586,leger
11315,leger
14112,modere
6154,leger
2735,leger
3309,modere
871,modere
3320,leger
18414,modere
4929,leger
15398,leger
9209,modere
8955,leger
17466,leger
6785,severe
6428,leger
5009,modere
128,leger
19263,leger
8763,modere
18032,modere
2564,modere
19355,modere
15391,leger
16763,modere
170,modere
13641,leger
11249,leger
16660,leger
837,leger
5839,leger
16282,modere
3638,modere
7864,leger
10357,leger
299,leger
12900,leger
8803,leger
19410,leger
16654,leger
6886,modere
3041,modere
3005,leger
10038,leger
384,leger
10763,modere
682,modere
16644,modere
16243,leger
1426,leger
8652,modere
1199,leger
18427,modere
4225,leger
7911,modere
11549,modere
5550,leger
11767,modere
7351,modere
16827,modere
12735,modere
7188,leger
207,leger
14763,leger
12913,leger
3017,modere
4310,leger
495,modere
10957,modere
13532,severe
12085,leger
5689,modere
15155,modere
8643,modere
2328,leger
16673,modere
18712,severe
16607,leger
18693,leger
13666,modere
17321,modere
4658,severe
6269,leger
17304,leger
11488,leger
2252,leger
11506,modere
13551,leger
16461,leger
4726,leger
10227,leger
13838,severe
10695,modere
6361,leger
19017,modere
9596,leger
5047,leger
8,leger
4406,modere
13936,leger
15844,leger
10758,modere
895,modere
14488,leger
8663,leger
13729,leger
8656,leger
19254,leger
215,leger
17020,modere
15575,modere
6932,modere
6461,leger
1037,modere
15537,leger
10860,leger
6596,leger
4768,leger
15808,leger
16514,modere
3916,severe
74,modere
5568,leger
16126,leger
14762,modere
18627,leger
7877,modere
18043,modere
18962,severe
4704,leger
12841,modere
10994,severe
9145,leger
3502,leger
17934,modere
16689,leger
2765,leger
2958,modere
202,leger
12479,modere
10121,modere
18451,leger
14844,severe
5326,leger
4544,leger
7723,modere
5769,modere
2736,modere
3051,leger
17955,modere
19277,leger
1264,leger
593,modere
11968,modere
3727,leger
16175,leger
1660,leger
14591,leger
6939,modere
15013,leger
8566,leger
14458,modere
12769,severe
12150,leger
11046,leger
10273,modere
14364,modere
13674,modere
561,leger
17864,modere
16517,severe
2824,leger
15233,modere
319,modere
13406,leger
7388,leger
3864,leger
17095,leger
9331,leger
3721,leger
4290,leger
7633,modere
5175,leger
6889,leger
1355,modere
2978,modere
18601,modere
15502,severe
12511,modere
9090,leger
14351,modere
13387,leger
14068,modere
15291,modere
10114,leger
11201,modere
1373,leger
4589,leger
4808,severe
6627,modere
7749,leger
3760,leger
12351,leger
5836,modere
8221,leger
7030,modere
15913,leger
8939,modere
14630,leger
5764,severe
11753,modere
8420,modere
16893,leger
16311,leger
1219,leger
14761,modere
2995,modere
14057,leger
1983,leger
865,modere
1146,severe
14310,modere
17111,leger
2652,leger
7593,leger
10213,modere
17545,leger
5241,modere
19245,modere
12974,leger
8843,modere
8035,severe
10748,severe
13682,leger
6207,leger
7819,leger
12297,modere
8478,severe
10762,leger
10163,leger
11346,leger
14655,leger
15000,leger
3893,leger
8107,severe
13703,leger
7400,leger
14213,leger
16145,modere
8337,leger
1838,modere
1750,leger
13319,severe
9429,leger
15465,modere
13706,modere
12562,leger
11194,leger
9907,leger
3276,modere
719,modere
11284,modere
13218,leger
12165,leger
12394,severe
4693,modere
14977,leger
12017,modere
5431,modere
178,modere
9151,leger
1363,modere
16361,modere
5710,leger
3977,severe
5720,leger
14132,severe
3125,leger
8383,leger
899,leger
15409,leger
5297,leger
10533,leger
6918,leger
15807,leger
19301,leger
11080,leger
1624,leger
11371,leger
12365,leger
4952,modere
17385,modere
6630,modere
6533,modere
3510,leger
13163,leger
12897,leger
15267,leger
18787,modere
10220,modere
482,modere
4859,modere
18860,modere
1523,severe
8849,modere
11043,modere
15254,leger
12741,modere
14995,severe
17406,leger
19259,leger
14856,leger
16362,leger
866,modere
10948,modere
8366,leger
9310,modere
8109,severe
8638,modere
18396,modere
9787,modere
2362,leger
2768,modere
12881,leger
533,modere
622,modere
11512,modere
18594,leger
13564,leger
7675,leger
6929,modere
582,leger
15624,leger
9337,leger
16744,modere
3938,modere
17866,severe
11661,leger
6656,modere
13421,leger
3472,leger
8059,modere
2497,modere
18116,modere
19066,leger
11255,leger
13310,leger
1845,severe
17004,leger
6044,modere
823,leger
4015,leger
17970,modere
5699,leger
10578,modere
665,leger
4894,leger
16231,leger
749,leger
5849,modere
13142,modere
1145,leger
5028,leger
4888,modere
16250,severe
2081,leger
14669,modere
808,leger
16966,leger
9442,severe
546,modere
18189,modere
5292,severe
516,modere
2039,leger
7594,leger
15009,leger
2315,leger
5419,leger
73,modere
17362,modere
11416,leger
10157,leger
2118,modere
3506,severe
7948,modere
6783,leger
4219,severe
17022,modere
18640,modere
19293,leger
3931,modere
18864,leger
989,severe
909,leger
211,leger
12098,modere
5928,severe
6434,leger
10308,leger
9773,modere
5776,modere
3878,modere
4176,modere
19304,leger
14477,leger
17814,modere
6021,leger
16595,severe
14276,modere
1879,modere
251,leger
3581,leger
18132,modere
4151,severe
11788,modere
15268,modere
7943,leger
13681,modere
9318,modere
18756,leger
17297,leger
6295,modere
530,leger
8134,leger
265,leger
13033,modere
3321,leger
19171,leger
14422,modere
17751,leger
3322,modere
7974,leger
3919,leger
11781,leger
13539,leger
1048,severe
4267,leger
8863,leger
5547,modere
3186,leger
11149,leger
1013,modere
2134,modere
8461,leger
8409,leger
15923,modere
12291,modere
3001,leger
10458,leger
12321,modere
19411,severe
11455,modere
6092,leger
1908,modere
14945,leger
19432,leger
11394,modere
14559,modere
4034,modere
7341,severe
6346,severe
5142,leger
8331,leger
14200,leger
5130,leger
14593,leger
17834,leger
9240,modere
17393,leger
16600,leger
7220,modere
2885,severe
15399,leger
18232,modere
15192,leger
9784,leger
19024,leger
12803,severe
16156,modere
17191,leger
5844,modere
11961,leger
10507,leger
138,modere
3071,leger
14024,modere
2136,severe
7146,leger
15307,modere
6973,modere
7976,modere
8604,modere
4381,leger
17253,modere
7487,leger
7604,leger
1742,leger
5861,leger
15262,severe
10234,leger
11701,leger
17376,modere
13158,modere
10837,modere
18633,modere
11959,leger
12864,leger
6085,leger
15263,leger
12931,severe
13760,leger
9352,severe
4528,modere
1333,leger
6415,modere
6359,leger
5383,modere
5415,modere
18321,modere
17187,leger
17808,severe
7466,modere
16134,leger
1808,modere
3121,modere
4826,modere
15179,leger
13586,modere
1531,leger
11714,modere
14210,leger
11567,leger
9147,modere
10193,modere
5975,leger
2915,modere
12922,leger
9411,leger
19093,modere
10315,leger
8698,modere
11452,modere
6168,leger
3574,leger
2835,severe
10789,leger
9380,modere
5780,modere
12324,modere
13369,modere
17056,modere
12706,modere
429,severe
7730,severe
11993,modere
13748,leger
17555,modere
9695,leger
9575,modere
18371,leger
4915,severe
2115,leger
12271,modere
10826,modere
16742,leger
11132,modere
12909,severe
17640,modere
9466,modere
14290,modere
19159,leger
9261,modere
14505,modere
1805,leger
16164,leger
9455,modere
17217,modere
3678,leger
7384,modere
10798,leger
18953,leger
3600,modere
5011,leger
12200,leger
10299,modere
12981,modere
13973,leger
337,modere
3520,leger
2699,modere
5374,modere
17098,severe
6830,leger
16490,leger
18263,leger
15863,leger
11611,leger
8458,leger
8261,leger
13663,leger
10545,leger
3300,modere
13574,leger
8480,leger
7930,leger
17314,modere
10268,leger
3544,leger
